sku,description,unit,price
ALPHA-SHOE-OPEN-1LAM,Full height opening (<4ft) 1pc laminate,ea,100.00
ALPHA-SHOE-OPEN-2LAM,Full height opening (>4ft) 2pc laminate,ea,200.00
ALPHA-SHOE-SETTEE,Settee storage cabinet (exclude cushion),ft,125.00
ALPHA-BED-KING,Bed King size c/w 2 or 4 drawers,set,850.00
ALPHA-BED-QUEEN,Bed Queen size c/w 2 or 4 drawers,set,750.00
ALPHA-BED-SUPER-SINGLE,Bed Super single c/w 2 drawers,set,650.00
ALPHA-BED-SINGLE,Bed Single size c/w 2 drawers,set,600.00
ALPHA-BED-PULLOUT,Pull-out bed frame (additional),ea,300.00
ALPHA-PLATFORM-<300,Platform (<300mm),sqft,25.00
ALPHA-PLATFORM->300,Platform (>300mm),sqft,35.00
ALPHA-BEDSIDE-<2FT,Side table laminate finish (<2ft),ea,220.00
ALPHA-BEDSIDE->2FT,Side table laminate finish (>2ft),ft,110.00
ALPHA-VANITY-SUSP->3FT,Suspended cabinet c/w colour PVC (>3ft),ft,110.00
ALPHA-VANITY-TOPHUNG-MIR,Top hung cabinet c/w mirror door (>3ft),ft,140.00
ALPHA-VANITY-FOAM,Add foam board,ft,80.00
ALPHA-STUDY-SUSP-DESK,Suspended study desk c/w colour PVC,ft,110.00
ALPHA-STUDY-TOPHUNG,Top hung cabinet laminate c/w colour PVC,ft,110.00
ALPHA-STUDY-FULL>8FT,Full height (>8ft) adder,ft,30.00
ALPHA-STUDY-BOTTOM,Study bottom cabinet (H780/D600),ft,135.00
ALPHA-STUDY-KEYBOARD,Keyboard slide track,set,20.00
ALPHA-ALTAR,Altar cabinet,ft,240.00
ALPHA-BOMBSHELTER-3FT,3ft hidden behind bomb shelter PVC storage cabinet,ft,550.00
