sku,description,unit,price
BEN-OPEN-SHELF-80-HDB,Open shelf design (large) [HDB],ea,80.00
BEN-OPEN-SHELF-80-SNS,Open shelf design (large) [HDB-SNS],ea,80.00
BEN-OPEN-SHELF-80-CONDO,Open shelf design (large) [Condo/Landed],ea,80.00
BEN-LED-STRIP-HDB,LED strip light + aluminium track (S&I) [HDB],ft,12.00
BEN-LED-STRIP-SNS,LED strip light + aluminium track (S&I) [HDB-SNS],ft,12.00
BEN-LED-STRIP-CONDO,LED strip light + aluminium track (S&I) [Condo/Landed],ft,12.00
BEN-LED-STRIP-HELMET-HDB,LED strip light helmet + laminated helmet [HDB],ft,30.00
BEN-LED-STRIP-HELMET-SNS,LED strip light helmet + laminated helmet [HDB-SNS],ft,30.00
BEN-LED-STRIP-HELMET-CONDO,LED strip light helmet + laminated helmet [Condo/Landed],ft,30.00
BEN-CURVED-FULL-HEIGHT-HDB,R80-90 curved full height - 1 side [HDB],set,240.00
BEN-CURVED-FULL-HEIGHT-SNS,R80-90 curved full height - 1 side [HDB-SNS],set,240.00
BEN-CURVED-FULL-HEIGHT-CONDO,R80-90 curved full height - 1 side [Condo/Landed],set,270.00
BEN-DRAWER-ADD-HDB,Drawer - additional (max L800mm) [HDB],set,70.00
BEN-DRAWER-ADD-SNS,Drawer - additional (max L800mm) [HDB-SNS],set,70.00
BEN-DRAWER-ADD-CONDO,Drawer - additional (max L800mm) [Condo/Landed],set,70.00
BEN-SCARF-1L-HDB,Scarf drawer - 1 layer [HDB],layer,80.00
BEN-SCARF-1L-SNS,Scarf drawer - 1 layer [HDB-SNS],layer,80.00
BEN-SCARF-1L-CONDO,Scarf drawer - 1 layer [Condo/Landed],layer,80.00
BEN-SCARF-2L-HDB,Scarf drawer - 2 layers [HDB],dbl_layer,110.00
BEN-SCARF-2L-SNS,Scarf drawer - 2 layers [HDB-SNS],dbl_layer,110.00
BEN-SCARF-2L-CONDO,Scarf drawer - 2 layers [Condo/Landed],dbl_layer,110.00
BEN-SCARF-RACK-HDB,Scarf pull-out rack (S&I) [HDB],set,100.00
BEN-SCARF-RACK-SNS,Scarf pull-out rack (S&I) [HDB-SNS],set,100.00
BEN-SCARF-RACK-CONDO,Scarf pull-out rack (S&I) [Condo/Landed],set,100.00
BEN-OPEN-SHELF-LAM-SQM-HDB,Open shelf laminated [HDB],sqm,80.00
BEN-OPEN-SHELF-LAM-SQM-SNS,Open shelf laminated [HDB-SNS],sqm,80.00
BEN-OPEN-SHELF-LAM-SQM-CONDO,Open shelf laminated [Condo/Landed],sqm,100.00
BEN-WALL-FLUTED-HDB,"Featural wall - fluted panel (by laminate, 50-100mm) [HDB]",sqft,25.00
BEN-WALL-FLUTED-SNS,"Featural wall - fluted panel (by laminate, 50-100mm) [HDB-SNS]",sqft,25.00
BEN-WALL-FLUTED-CONDO,"Featural wall - fluted panel (by laminate, 50-100mm) [Condo/Landed]",sqft,28.00
BEN-SHAKER-DRW-HDB,Shaker door panel - drawer size [HDB],pc,40.00
BEN-SHAKER-DRW-SNS,Shaker door panel - drawer size [HDB-SNS],pc,40.00
BEN-SHAKER-DRW-CONDO,Shaker door panel - drawer size [Condo/Landed],pc,40.00
BEN-SHAKER-<1200-HDB,"Shaker door panel - H < 1200mm, W <= 600mm [HDB]",pc,60.00
BEN-SHAKER-<1200-SNS,"Shaker door panel - H < 1200mm, W <= 600mm [HDB-SNS]",pc,60.00
BEN-SHAKER-<1200-CONDO,"Shaker door panel - H < 1200mm, W <= 600mm [Condo/Landed]",pc,60.00
BEN-SHAKER-1200-2400-HDB,"Shaker door panel - H 1200-2400mm, W <= 600mm [HDB]",pc,100.00
BEN-SHAKER-1200-2400-SNS,"Shaker door panel - H 1200-2400mm, W <= 600mm [HDB-SNS]",pc,100.00
BEN-SHAKER-1200-2400-CONDO,"Shaker door panel - H 1200-2400mm, W <= 600mm [Condo/Landed]",pc,100.00
